id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
akane1-1,bg,scenario15
akane1-6,talk,akane,......それがアタシなんだ
akane1-6,talk,akane,一緒に旅してた人が死んだのだって
akane1-6,talk,akane,人生の中の、ほんの小さな出来事かもしれないけど
akane1-6,talk,akane,あのとき、ああいう経験をしなかったら、アタシにはもっと別の選択肢があったかもしれないけど
akane1-6,talk,akane,でも......あのとき、あの人を助けられなくて
akane1-6,talk,akane,それを後悔してるのが......アタシの人生なんだ
akane1-6,talk,akane,......
akane1-6,talk,akane,アタシは、この人生を生きてて
akane1-6,talk,akane,そして......やるべきことがあるって、思っちゃってる
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......それって
akane1-6,talk,natsuno,そのやるべきことって、アカネさんのやりたいこと？
akane1-6,talk,akane,......ちょっと違う、かな
akane1-6,talk,akane,やりたいこととも、やれって言われたこととも、求められていることとも、たぶん違う
akane1-6,talk,akane,......もし、これが『やりたい』ってだけのことなら
akane1-6,talk,akane,この足の痛みとか、もうすぐ死んじゃうかもしれないって恐怖に、勝てなかったと思う
akane1-6,talk,akane,でも......アタシは、これをやるべきだって思ってる
akane1-6,talk,akane,アタシが、これをするべきだって、信じてる
akane1-6,talk,akane,やりたくなくても、やれって言われなくても、求められてなくても......
akane1-6,talk,akane,......信じてるんだ
akane1-6,talk,natsuno,......
akane1-6,talk,akane,......
akane1-6,talk,akane,......ナツノちゃん
akane1-6,talk,akane,アタシ、行くよ
akane1-6,talk,akane,感染者の身体の中で起きていることを知りたい
akane1-6,talk,akane,感染を食い止めることは、アタシたちにはできなかったけど
akane1-6,talk,akane,感染してしまった人を、救うことは......もしかしたら、まだ、できるかもしれないから
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......それは、わたしと一緒じゃ、だめなの？
akane1-6,talk,akane,ナツノちゃんと一緒にいたら......また、心配かけちゃうから
akane1-6,talk,akane,こうやって、ナツノちゃんに助けてもらいながら薬探して回るのも、申し訳ないしね
akane1-6,talk,akane,......
akane1-6,talk,akane,......ううん
akane1-6,talk,akane,本当は......
akane1-6,talk,akane,怖いんだ
akane1-6,talk,akane,アタシ、明日朝起きたら、死んでるかもしれなくて
akane1-6,talk,akane,それを......ナツノちゃんに見られたくない
akane1-6,talk,akane,やれること、やれるだけやって......
akane1-6,talk,akane,もし死ぬなら
akane1-6,talk,akane,......一人がいい
akane1-6,talk,akane,朝起きたら、隣で誰か死んでるとか
akane1-6,talk,akane,ナツノちゃんに、そんな経験してほしくないしね
akane1-6,talk,akane,......
akane1-6,talk,akane,......何より
akane1-6,talk,akane,これは、アタシのやるべきことで
akane1-6,talk,akane,アタシが信じてることで
akane1-6,talk,akane,ナツノちゃんが付き合うことじゃ、ないよ
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......でも、
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,............
akane1-6,talk,natsuno,......ううん
akane1-6,talk,natsuno,......わかった
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,全然、わかんないけど
akane1-6,talk,natsuno,危ないこと、してほしくないけど
akane1-6,talk,natsuno,それが、やるべきことだって
akane1-6,talk,natsuno,アカネさんの見つけた『意味』だって言うなら
akane1-6,talk,natsuno,......わたしには
akane1-6,talk,natsuno,アカネさん、止められないから
akane1-6,talk,akane,......
akane1-6,talk,akane,......ごめんね
akane1-6,fg,survivor03,right-left,0.5,smile
akane1-6,talk,akane,......そんな悲しい顔しないでよ
akane1-6,fg,survivor03,right-left,0.5,default
akane1-6,talk,akane,いつもみたいに......ちょっといなくなるだけ
akane1-6,talk,akane,そう遠くないうちに、また会えるよ
akane1-6,talk,akane,......って、思っててほしいな
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......うん
akane1-6,wait,3
akane1-6,fadeOut,1
akane1-6,newPage
akane1-6,fgClear
akane1-6,wait,2
akane1-6,bg,scenario07
akane1-6,playBgm,scenario03
akane1-6,fadeIn,1
akane1-6,talk,natsuno,......
akane1-6,fg,survivor00,right-right,1.0,serious
akane1-6,talk,natsuno,......止められなかったな
akane1-6,talk,natsuno,止めたかったけど......
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,やるべきこと......かぁ
akane1-6,fg,survivor00,right-right,0.5,depress
akane1-6,talk,natsuno,わたしのやるべきことって......なんだろ
akane1-6,talk,natsuno,信じられること......
akane1-6,talk,natsuno,わたしの人生とか、経験とか......
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......そんなこと言われても
akane1-6,talk,natsuno,実感、ないよ
akane1-6,talk,natsuno,......
akane1-6,talk,natsuno,......いつか、わたしにも
akane1-6,talk,natsuno,アカネさんみたいに......
akane1-6,talk,natsuno,あんな真っ直ぐな気持ちで、何かできる日が
akane1-6,talk,natsuno,くるのかな......
akane1-6,talk,natsuno,......
akane1-6,fg,survivor00,right-right,0.5,serious
akane1-6,talk,natsuno,......ね
akane1-6,talk,natsuno,あなたは、どう？
akane1-6,talk,natsuno,あなたにとって、やるべきことって......
akane1-6,talk,natsuno,信じてることって
akane1-6,wait,1
akane1-6,talk,natsuno,......なに？
akane1-6,wait,3
akane1-6,removeSurvivor,akane
akane1-6,end,ending,akane1
-,,,
