id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
itsuka1-1,bg,scenario35
itsuka1-5,talk,itsuka,ナツノが言ってることは......
itsuka1-5,talk,itsuka,なんていうか、異様なことに聞こえる
itsuka1-5,talk,itsuka,別々のことを真実だと思ってるなら......その二人は、たぶん、一緒にはいられない
itsuka1-5,talk,itsuka,確かに誰もが同じことを真実だと思ってるわけじゃないかもしれないけど......
itsuka1-5,talk,itsuka,......それとも、一緒にいなくてもいい、ってこと？
itsuka1-5,talk,natsuno,ううん
itsuka1-5,talk,natsuno,一緒にいられるよ、たぶん
itsuka1-5,talk,natsuno,だって......
itsuka1-5,talk,natsuno,クラスメイトとだって、そうだったし
itsuka1-5,talk,natsuno,考えてることが違う子とか
itsuka1-5,talk,natsuno,言ってることが合わない子とか
itsuka1-5,talk,natsuno,たくさんいたけど......
itsuka1-5,talk,natsuno,一緒の教室で、普通に話してたし
itsuka1-5,talk,natsuno,友達だったよ
itsuka1-5,talk,natsuno,......そうじゃない？
itsuka1-5,talk,itsuka,......
itsuka1-5,fg,survivor06,right-left,0.5,depress
itsuka1-5,talk,itsuka,......そう、かな
itsuka1-5,talk,itsuka,それと同じように......考えていいことなのかどうか
itsuka1-5,talk,itsuka,私には......わからない
itsuka1-5,talk,itsuka,私たちは......
itsuka1-5,talk,itsuka,そんな風に、生きていけるんだろうか......
itsuka1-5,wait,3
itsuka1-5,end,questSuccess
-,,,
itsuka1-6,bg,scenario35
itsuka1-6,fgClear
itsuka1-6,wait,2
itsuka1-6,playBgm,character06
itsuka1-6,fg,survivor00,right-right,1.0,serious
itsuka1-6,talk,natsuno,......行くの？
itsuka1-6,talk,itsuka,......
itsuka1-6,wait,1
itsuka1-6,fg,survivor06,right-left,1.0
itsuka1-6,talk,itsuka,......うん
itsuka1-6,talk,itsuka,行くよ
itsuka1-6,fg,survivor06,right-left,0.5,depress
itsuka1-6,talk,itsuka,......ナツノが言ってたこと
itsuka1-6,talk,itsuka,今でも、よくわからない
itsuka1-6,talk,itsuka,私たちは......別々の真実を信じながら
itsuka1-6,talk,itsuka,一緒に、生きていけるんだろうか
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......わたしが朝型で、イツカが夜型で
itsuka1-6,talk,natsuno,困ることもあるけど
itsuka1-6,talk,natsuno,でも、一緒に暮らせないわけじゃないじゃん
itsuka1-6,talk,natsuno,ケンカして、どっちかに揃えなきゃいけないわけじゃない
itsuka1-6,talk,natsuno,そりゃ、朝起きてくれたら助かるなって思うけど
itsuka1-6,talk,natsuno,でも......そうじゃなくても、別々に生きなきゃいけないわけじゃない
itsuka1-6,talk,natsuno,......違う、かな
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......いや
itsuka1-6,talk,itsuka,私もそう思う
itsuka1-6,talk,itsuka,そもそも私たちは別の人間で
itsuka1-6,talk,itsuka,別々の経験をしてきて、別々のことを考えてる
itsuka1-6,talk,itsuka,それが一緒に暮らそうっていうんだから、そもそもどこかで妥協しないといけないし
itsuka1-6,talk,itsuka,話し合って、うまいこと着地点を見つけるしかない
itsuka1-6,talk,itsuka,......けど
itsuka1-6,talk,itsuka,それとこれと......同じように考えられるって実感が、ない
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......ナツノは
itsuka1-6,talk,itsuka,もし、私が見つけた真実が、今のナツノを否定するものだったとしても
itsuka1-6,talk,itsuka,それが、ナツノにとって......苦しいものだったとしても
itsuka1-6,talk,itsuka,それを私から聞いたとき......
itsuka1-6,talk,itsuka,受け入れてくれる？
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......どうだろ
itsuka1-6,talk,natsuno,それは、たぶん、苦しい気持ちになるだろうなって思うよ
itsuka1-6,talk,natsuno,今だって、何もかも偶然なんだって、受け入れても
itsuka1-6,talk,natsuno,苦しい気持ちになることがなくなったわけじゃないし......
itsuka1-6,talk,natsuno,今でも、ときどき、眠れなくなる
itsuka1-6,talk,natsuno,でも......
itsuka1-6,talk,natsuno,......なんだろ
itsuka1-6,talk,natsuno,わたしが今、感じてることと
itsuka1-6,talk,natsuno,イツカが、これから見つけるかもしれないっていう真実と
itsuka1-6,talk,natsuno,どっちが本当なのかって......もしかしたら、わかんないのかもって、思う
itsuka1-6,talk,natsuno,でも、だから......
itsuka1-6,talk,natsuno,イツカが真実だって、思ったこと
itsuka1-6,talk,natsuno,受け入れられないかもしれないけど......否定しないでいたいっていうか
itsuka1-6,talk,natsuno,ええと......
itsuka1-6,pauseBgm
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,どっちが本当なのか、わからない......か
itsuka1-6,fg,survivor06,right-left,0.5,default
itsuka1-6,talk,itsuka,......そうか
itsuka1-6,talk,itsuka,......そうだね
itsuka1-6,playBgm,scenario03
itsuka1-6,talk,itsuka,もし、この世界がこうなった理由を、私が見つけたとしても
itsuka1-6,talk,itsuka,それを、客観的に証明することはできないかもしれない
itsuka1-6,talk,itsuka,今......この世界が偶然なんだって証拠が、ないのと同じで
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......そっか
itsuka1-6,talk,itsuka,そうなんだ
itsuka1-6,talk,itsuka,確かに......何が真実か、なんて
itsuka1-6,talk,itsuka,とても、曖昧なものなのかもしれない
itsuka1-6,talk,itsuka,あるのは、人が、何を信じてるかってことだけで
itsuka1-6,talk,itsuka,どんな『物語』を見出してるのかってこと、だけで
itsuka1-6,talk,itsuka,真実なんてものは、もしかしたら......
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......じゃあ
itsuka1-6,talk,itsuka,私は、探してみる
itsuka1-6,talk,itsuka,それが真実なのかどうか、わからないかもしれないけど
itsuka1-6,talk,itsuka,それがナツノを苦しめるかもしれないけど
itsuka1-6,talk,itsuka,でも......私が真実なんだって思えるものを
itsuka1-6,talk,itsuka,探してみる
itsuka1-6,talk,natsuno,......
itsuka1-6,fg,survivor00,right-right,0.5,depress
itsuka1-6,talk,natsuno,......一人で、行くんだね
itsuka1-6,talk,itsuka,......うん
itsuka1-6,talk,itsuka,いつか、私が真実だと思えるものを見つけたら
itsuka1-6,talk,itsuka,また会おう
itsuka1-6,talk,itsuka,そして、そのとき、話をしよう
itsuka1-6,talk,itsuka,私と、ナツノと......一緒に、生きていけるように
itsuka1-6,talk,natsuno,......うん
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......大丈夫
itsuka1-6,talk,itsuka,私には、ナツノの声は聞こえないけど
itsuka1-6,talk,itsuka,スマホの向こうのあなたの声が聞こえる
itsuka1-6,talk,itsuka,ずっと、頭の中に響いてる
itsuka1-6,talk,itsuka,だから......絶対、また会える
itsuka1-6,talk,natsuno,......うん
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......ねぇ、イツカ
itsuka1-6,talk,natsuno,わたし、イツカと会ったこと、後悔してないよ
itsuka1-6,talk,natsuno,会わなきゃよかったって、思ってない
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......それは、ナツノがいろんなことを受け入れられたから
itsuka1-6,talk,itsuka,結果的に、そう思えるだけ、だよ
itsuka1-6,talk,itsuka,......
itsuka1-6,talk,itsuka,......でも、ありがとう
itsuka1-6,talk,itsuka,......じゃあ
itsuka1-6,talk,itsuka,いくよ
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......うん
itsuka1-6,talk,natsuno,またね
itsuka1-6,talk,itsuka,うん。また
itsuka1-6,wait,1
itsuka1-6,fgRemove,survivor06,2.0
itsuka1-6,wait,2
itsuka1-6,fadeOut,1
itsuka1-6,newPage
itsuka1-6,fgClear
itsuka1-6,wait,2
itsuka1-6,fadeIn,1
itsuka1-6,wait,1
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......朝、なかなか起きてこなくて、起こしに行くのとか
itsuka1-6,talk,natsuno,夜中......あなたと二人で話してるのが聞こえて、ちょっと気になっちゃうのとか
itsuka1-6,talk,natsuno,......そういうの、全部、なくなって
itsuka1-6,talk,natsuno,寂しいって......思うんだろうな
itsuka1-6,talk,natsuno,イツカは、もともと一人でどっか行くこと多かったし
itsuka1-6,talk,natsuno,なんか......一緒にいても、一緒にいるって感じ、あんまりしなかったけど
itsuka1-6,talk,natsuno,でも......それでも、一緒に生きてたんだ
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......妹みたいだったな
itsuka1-6,talk,natsuno,あんまり構ってくれない妹、みたいな
itsuka1-6,talk,natsuno,......ずっと年上、なんだけどね
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......あーあ
itsuka1-6,talk,natsuno,やだな
itsuka1-6,talk,natsuno,イツカから、いろんな話聞いて
itsuka1-6,talk,natsuno,あなたといろんな話して
itsuka1-6,talk,natsuno,......今までより、ずっと
itsuka1-6,talk,natsuno,『寂しい』って気持ち、意識しちゃう
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......これからしばらく
itsuka1-6,talk,natsuno,寂しいの、続くんだろうな......
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,......はは
itsuka1-6,talk,natsuno,今は、黙って聞いててね
itsuka1-6,talk,natsuno,こんな話してるって、イツカに気づかれたら
itsuka1-6,talk,natsuno,恥ずかしいから
itsuka1-6,talk,natsuno,......
itsuka1-6,talk,natsuno,いつか、どこかで何かを見つけて
itsuka1-6,talk,natsuno,......帰ってきてね
itsuka1-6,wait,3
itsuka1-6,removeSurvivor,itsuka
itsuka1-6,end,ending,itsuka1
-,,,
