id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
minamo1-1,bg,scenario25
minamo1-5,talk,minamo,えー
minamo1-5,talk,minamo,だいじょーぶだって
minamo1-5,talk,minamo,そんなむずくないよ、棒振るだけだって
minamo1-5,talk,natsuno,けど......
minamo1-5,fg,survivor05,right-left,0.5,smile
minamo1-5,talk,minamo,なんにでも、初めてはあーる
minamo1-5,fg,survivor00,right-right,0.5,zito
minamo1-5,talk,natsuno,えー......
minamo1-5,wait,3
minamo1-5,removeSurvivor,minamo
minamo1-5,end,questSuccess
-,,,
minamo1-6,bg,scenario26
minamo1-6,fgClear
minamo1-6,wait,2
minamo1-6,playSe,down00
minamo1-6,wait,2
minamo1-6,playBgm,character05
minamo1-6,fg,survivor00,right-right,0.5,zito
minamo1-6,talk,natsuno,あー
minamo1-6,talk,natsuno,もうむり......身体中痛い......
minamo1-6,wait,1
minamo1-6,fg,survivor05,right-left,0.5,smile
minamo1-6,talk,minamo,えー？
minamo1-6,talk,minamo,うち、そんな強く打ち込んでないよー
minamo1-6,talk,natsuno,そうじゃなくて......
minamo1-6,talk,natsuno,こんな重いもの着て動き回ったら、それだけでしんどいよ......
minamo1-6,talk,minamo,ははー
minamo1-6,talk,minamo,ま、うちも久しぶりすぎて、さすがに疲れたなぁ
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,でも、さすがナツノさん
minamo1-6,talk,minamo,東京からこんなとこまで一人で逃げ延びたってだけあって
minamo1-6,talk,minamo,運動神経抜群だなぁ
minamo1-6,fg,survivor00,right-right,0.5,default
minamo1-6,talk,natsuno,そうかな......
minamo1-6,talk,natsuno,ミナモこそ......
minamo1-6,talk,natsuno,剣道なんて、ちゃんと試合見たことすらないけど
minamo1-6,talk,natsuno,ミナモがすごいうまいってことは
minamo1-6,talk,natsuno,わかったよ
minamo1-6,talk,minamo,ははは
minamo1-6,talk,minamo,まーねー
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,いやー
minamo1-6,talk,minamo,疲れたなぁ......
minamo1-6,talk,minamo,汗、すご
minamo1-6,talk,natsuno,......
minamo1-6,fg,survivor00,right-right,0.5,serious
minamo1-6,talk,natsuno,......ミナモはさ
minamo1-6,talk,minamo,......
minamo1-6,talk,natsuno,その先輩のこと......
minamo1-6,pauseBgm
minamo1-6,wait,1
minamo1-6,talk,natsuno,好きだったの？
minamo1-6,talk,minamo,......
minamo1-6,fg,survivor05,right-left,0.5,default
minamo1-6,talk,minamo,......そりゃあ
minamo1-6,talk,minamo,好きだったよ
minamo1-6,talk,natsuno,......それって
minamo1-6,talk,natsuno,友達としての、好き？
minamo1-6,talk,natsuno,それとも......
minamo1-6,talk,natsuno,......
minamo1-6,talk,minamo,......
minamo1-6,playBgm,scenario05
minamo1-6,talk,minamo,......あーあ
minamo1-6,talk,minamo,ナツノさんって、ほんと
minamo1-6,talk,minamo,嫌なこと、訊いてくるなぁ
minamo1-6,fg,survivor00,right-right,0.5,depress
minamo1-6,talk,natsuno,......ごめん
minamo1-6,talk,natsuno,答えたくないなら......無視して
minamo1-6,talk,natsuno,......わたしは
minamo1-6,talk,natsuno,ミナモみたいに、考えられないから
minamo1-6,talk,natsuno,......何が嫌なのか、わかんなくて
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......うん
minamo1-6,talk,minamo,わかっとるよ
minamo1-6,talk,minamo,ナツノさんが悪いんじゃない
minamo1-6,talk,minamo,悪いんは......うちの方
minamo1-6,talk,minamo,......そんなこと
minamo1-6,talk,minamo,......思い出した
minamo1-6,talk,minamo,先輩に、好きな人ができたって言われて
minamo1-6,talk,minamo,でもそれが恋なんかどーかわからん、って言われて
minamo1-6,talk,minamo,うち......
minamo1-6,talk,minamo,そんなん、どっちでもいいじゃん、って言ったんだ
minamo1-6,talk,minamo,......今も
minamo1-6,talk,minamo,ナツノさんに、同じこと訊かれて
minamo1-6,talk,minamo,同じこと、思った
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......あぁ
minamo1-6,talk,minamo,そう......
minamo1-6,talk,minamo,そうなんよな
minamo1-6,talk,minamo,うちって、やっぱだめだわ
minamo1-6,talk,natsuno,......
minamo1-6,talk,natsuno,......ミナモは、悪くないよ
minamo1-6,talk,minamo,んーや
minamo1-6,talk,minamo,これは、うちが悪い
minamo1-6,talk,minamo,うちが悪いんだって、自分でわかる
minamo1-6,fg,survivor05,right-left,0.5,depress
minamo1-6,talk,minamo,だって
minamo1-6,talk,minamo,あんなに生きづらい世界で
minamo1-6,talk,minamo,どうでもいいこと気にして、いろんなことに気ぃ遣って生きんといけん世の中で
minamo1-6,talk,minamo,それをなんとも思ってないみんなが
minamo1-6,talk,minamo,平気な顔してる......先輩が
minamo1-6,talk,minamo,気持ち悪いって、思っとった
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......けど
minamo1-6,talk,minamo,それでも......うちは
minamo1-6,talk,minamo,みんなのことも、先輩のことも大好きで
minamo1-6,talk,minamo,憧れとった
minamo1-6,talk,minamo,......
minamo1-6,wait,1
minamo1-6,talk,minamo,うちも
minamo1-6,talk,minamo,先輩みたいに......笑ってみたかったよ
minamo1-6,wait,3
minamo1-6,pauseBgm
minamo1-6,fadeOut,1
minamo1-6,newPage
minamo1-6,fgClear
minamo1-6,fg,survivor05,right-right,0
minamo1-6,wait,2
minamo1-6,fadeIn,1
minamo1-6,wait,3
minamo1-6,playBgm,scenario04
minamo1-6,talk,minamo,世の中、生きづらいって思うよ
minamo1-6,talk,minamo,それは本当だし
minamo1-6,talk,minamo,生きづらいって思う、うちの感覚は間違ってないと思う
minamo1-6,talk,minamo,もっといろんなやり方のある世界の方が、いいって思う
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......けど
minamo1-6,talk,minamo,それが間違いじゃなくても、
minamo1-6,talk,minamo,うちは、あの世界の中で、生きてみたかった
minamo1-6,talk,minamo,みんなみたいに、笑ったり
minamo1-6,talk,minamo,先輩みたいに、キラキラした目で、生きてみたかった
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......そう
minamo1-6,talk,minamo,そんな気持ちから逃げるために、うち、剣道しとったんだ
minamo1-6,talk,minamo,身体動かしとる間は、何も考えんでいいから
minamo1-6,talk,minamo,剣道は......うちにとって、逃げ道だった
minamo1-6,talk,minamo,でも......
minamo1-6,talk,minamo,三年になって、先輩は大学に行って
minamo1-6,talk,minamo,うちも部活引退して
minamo1-6,talk,minamo,それで......
minamo1-6,talk,minamo,それで、やっと
minamo1-6,wait,1
minamo1-6,talk,minamo,逃げ場のないところで、向き合えるって思った
minamo1-6,talk,minamo,向き合ってみようって、思ったんよ
minamo1-6,talk,minamo,挑戦してみようって
minamo1-6,talk,minamo,先輩みたいに笑ってみたかった
minamo1-6,talk,minamo,みんなみたいに、あの世の中を、受け入れたかった
minamo1-6,talk,minamo,生きづらいけど......それでも、そこで、生きてみたいって思っとった
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......なのに
minamo1-6,talk,minamo,パンデミックが始まって
minamo1-6,talk,minamo,学校にも行けんくなって、先輩とも連絡つかんくなって
minamo1-6,talk,minamo,それで......
minamo1-6,talk,minamo,気がついたら、
minamo1-6,talk,minamo,挑戦しようって思っとった世の中が
minamo1-6,talk,minamo,きれいさっぱり、なくなっとった
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......今は、生きやすいよ
minamo1-6,talk,minamo,一人で、なんにもなくって
minamo1-6,talk,minamo,自分だけが頼りで
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......でも
minamo1-6,talk,minamo,うちは......
minamo1-6,talk,minamo,あの世の中で、
minamo1-6,talk,minamo,生きてみたかった......
minamo1-6,talk,minamo,あそこで......笑いたかったのに
minamo1-6,wait,1
minamo1-6,fg,survivor05,right-right,0.5,depress
minamo1-6,talk,minamo,......まさか
minamo1-6,talk,minamo,世の中の方がなくなってしまうとか
minamo1-6,talk,minamo,思わんじゃん......
minamo1-6,wait,3
minamo1-6,pauseBgm
minamo1-6,fadeOut,1
minamo1-6,newPage
minamo1-6,bg,scenario25
minamo1-6,fgClear
minamo1-6,fg,survivor00,right-right,0,serious
minamo1-6,fg,survivor05,right-left,0
minamo1-6,wait,2
minamo1-6,fadeIn,1
minamo1-6,wait,3
minamo1-6,playBgm,character05
minamo1-6,talk,natsuno,ミナモは
minamo1-6,talk,natsuno,これから、どうするの？
minamo1-6,talk,minamo,んー......
minamo1-6,talk,minamo,とりあえず
minamo1-6,talk,minamo,ナツノさんとバイバイしたいかな
minamo1-6,fg,survivor00,right-right,0.5,depress
minamo1-6,talk,natsuno,......
minamo1-6,talk,minamo,......ごめんて
minamo1-6,talk,minamo,冗談だって
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......や、冗談では、ないけど
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......ナツノさんにさ
minamo1-6,talk,minamo,先輩のこと、好きだったんかって訊かれて
minamo1-6,talk,minamo,友達としてなんか、恋愛としてなんか、って訊かれて
minamo1-6,talk,minamo,やっぱり、うちは
minamo1-6,talk,minamo,そんなん、どっちでもいいじゃんって思っちゃった
minamo1-6,talk,minamo,好きは、好きよ
minamo1-6,talk,minamo,友達として、とか、恋愛として、とか
minamo1-6,talk,minamo,そんなん、世の中がつくった、ただの型じゃん
minamo1-6,talk,minamo,型にはめた方が楽なんはわかるけど
minamo1-6,talk,minamo,全部、そうする必要なんかない
minamo1-6,talk,minamo,......とか
minamo1-6,talk,minamo,うちはやっぱり、そんな風に思ってしまう
minamo1-6,talk,minamo,......だから
minamo1-6,talk,minamo,やっぱり、うちは、こうなんだなって思う
minamo1-6,talk,minamo,あの世の中じゃ、うまくやっていけんかった
minamo1-6,talk,minamo,そこで生きるのは苦しかった
minamo1-6,talk,minamo,けど、そのくせ、憧れとって
minamo1-6,talk,minamo,自分もみんなみたいに生きてみたいって思っとって
minamo1-6,talk,minamo,......でも
minamo1-6,talk,minamo,もう、その世の中はなくなってしもうたから
minamo1-6,talk,minamo,うちは......もう一生、挑戦できん
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,けど、今は
minamo1-6,talk,minamo,別の世の中があって
minamo1-6,talk,minamo,うちにとって、生きやすい世界で
minamo1-6,talk,minamo,こんな自由な世界で生きるんなら......
minamo1-6,talk,minamo,うちが、ここでどんな風に生きられるんか
minamo1-6,talk,minamo,試してみたいって思う
minamo1-6,talk,natsuno,......
minamo1-6,talk,minamo,ナツノさんと会って
minamo1-6,talk,minamo,久しぶりに、昔の息苦しさとか、生きづらさとか
minamo1-6,talk,minamo,ちょっと、思い出したよ
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,だから、うちは、それとさよならして
minamo1-6,talk,minamo,今の世の中で、うちなりに、生きてみようって思う
minamo1-6,talk,natsuno,......
minamo1-6,talk,natsuno,......そっか
minamo1-6,talk,natsuno,正直......
minamo1-6,talk,natsuno,ミナモの言ってること
minamo1-6,talk,natsuno,最後まで、よくわかんなかった
minamo1-6,talk,minamo,......
minamo1-6,fg,survivor00,right-right,0.5,serious
minamo1-6,talk,natsuno,わかることも、あるよ
minamo1-6,talk,natsuno,世の中が息苦しいって思うのとか
minamo1-6,talk,natsuno,そこで生きてる人たちを、眩しいって思っちゃうのとか
minamo1-6,talk,natsuno,ちょっとは、わかる
minamo1-6,talk,natsuno,でも、たぶん
minamo1-6,talk,natsuno,わたしは、どっちかっていうと、その世の中に慣れて
minamo1-6,talk,natsuno,平気で、生きてられる方だと思うから
minamo1-6,talk,natsuno,......ミナモのこと、全部はわかってあげられない
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,うん
minamo1-6,talk,minamo,ナツノさんは、そうだと思う
minamo1-6,talk,minamo,だって、ナツノさんは、うちがここ何日かナツノさんと一緒にいて、どんだけ苦しかったか
minamo1-6,talk,minamo,わかんないと思うから
minamo1-6,talk,minamo,......ごめん、言い方悪いけど
minamo1-6,talk,minamo,でも、そうなんよ
minamo1-6,talk,natsuno,......うん
minamo1-6,talk,natsuno,わかるよ
minamo1-6,talk,natsuno,わかんないけど......本当にそうなんだってことは、わかる
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......だから
minamo1-6,pauseBgm
minamo1-6,talk,minamo,ここで、さよならかな
minamo1-6,talk,natsuno,......うん
minamo1-6,talk,minamo,うちは正直、ナツノさんのことあんま得意じゃないけど
minamo1-6,fg,survivor05,right-left,0.5,smile
minamo1-6,talk,minamo,でも、ナツノさんがそんなナツノさんのまま
minamo1-6,talk,minamo,これからも生きてくれたらいいなって......思っとるよ
minamo1-6,talk,natsuno,......
minamo1-6,talk,natsuno,......うん
minamo1-6,talk,natsuno,ミナモも
minamo1-6,talk,natsuno,ミナモらしく、生きてね
minamo1-6,talk,minamo,......もちろん
minamo1-6,talk,minamo,......
minamo1-6,talk,minamo,......じゃあ、ね
minamo1-6,talk,minamo,ばいばい
minamo1-6,talk,minamo,元気でね
minamo1-6,talk,natsuno,......うん
minamo1-6,talk,natsuno,元気で
minamo1-6,wait,2
minamo1-6,fgRemove,survivor05,2.0
minamo1-6,wait,1
minamo1-6,fadeOut,1
minamo1-6,newPage
minamo1-6,wait,2
minamo1-6,fadeIn,1
minamo1-6,wait,3
minamo1-6,talk,natsuno,......初めてだったな
minamo1-6,playBgm,character05
minamo1-6,talk,natsuno,苦手とか
minamo1-6,talk,natsuno,ずるい、とか
minamo1-6,talk,natsuno,そんな風に言われて......
minamo1-6,talk,natsuno,全然、嫌じゃなかったの
minamo1-6,talk,natsuno,......
minamo1-6,fg,survivor00,right-right,0.5,default
minamo1-6,talk,natsuno,......ああいう感じだから
minamo1-6,talk,natsuno,モテるんだろうな
minamo1-6,talk,natsuno,ミナモは、わたしのこと苦手だろうけど
minamo1-6,talk,natsuno,わたしは......ミナモみたいな人、好きだな
minamo1-6,talk,natsuno,なんていうか......
minamo1-6,talk,natsuno,ちゃんとしてて
minamo1-6,talk,natsuno,話してると、はっとさせられるっていうか
minamo1-6,talk,natsuno,すごいな、って思う
minamo1-6,talk,natsuno,......
minamo1-6,talk,natsuno,......生きづらい、かぁ
minamo1-6,talk,natsuno,......やっぱ
minamo1-6,talk,natsuno,よくわかんない
minamo1-6,talk,natsuno,よくわかんないってことが、いいことなのか、悪いことなのか
minamo1-6,talk,natsuno,それも......やっぱり、よくわかんない
minamo1-6,talk,natsuno,わたしは、わたしのままでいいって言われたし
minamo1-6,talk,natsuno,わたしらしく、生きてこ
minamo1-6,talk,natsuno,......
minamo1-6,fg,survivor00,right-right,0.5,serious
minamo1-6,talk,natsuno,......まぁ
minamo1-6,talk,natsuno,わたしらしく、っていうのが
minamo1-6,talk,natsuno,一番、難しくて、よくわかんないんだけど
minamo1-6,talk,natsuno,......
minamo1-6,talk,natsuno,なんだろうね
minamo1-6,talk,natsuno,わたしらしく、って
minamo1-6,wait,3
minamo1-6,end,ending,minamo1
-,,,
