id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
collection1-1,bg,scenario00
collection10-1,talk,natsuno,何もかも失っちゃったみたいな......そんな気持ちでいるけど
collection10-1,talk,natsuno,でも、植物とか
collection10-1,talk,natsuno,自然の中で生きてる動物とか
collection10-1,talk,natsuno,海を泳いでる魚とか
collection10-1,talk,natsuno,そういうのからしたら......たぶん、なんにも変わってないんだよね
collection10-1,talk,natsuno,毎日、太陽は昇るし
collection10-1,talk,natsuno,雨も降るし
collection10-1,talk,natsuno,季節だって、これから巡っていくだろうし
collection10-1,talk,natsuno,......そう考えると
collection10-1,talk,natsuno,変わっちゃったのって......世の中の、ほんの小さな
collection10-1,talk,natsuno,ちっぽけな一部だけ、なんだなぁって
collection10-1,talk,natsuno,思っちゃう
collection10-1,talk,natsuno,......
collection10-1,talk,natsuno,......街に住んで、人がたくさん集まって暮らしてたけど
collection10-1,talk,natsuno,けど......人ってちっぽけだな
collection10-1,talk,natsuno,......はは
collection10-1,talk,natsuno,笑わないでよ
collection10-1,talk,natsuno,わたしも笑っちゃったけど
collection10-1,talk,natsuno,だって、しょーがないじゃん
collection10-1,talk,natsuno,思っちゃうよ、こんな生活してたらさ
collection10-1,talk,natsuno,人ってちっぽけで......
collection10-1,talk,natsuno,でも、それを実感するのは、そんなに嫌なことじゃない
collection10-1,talk,natsuno,......
collection10-1,talk,natsuno,......はは
collection10-1,talk,natsuno,恥ずかしいから、この話、おしまい
collection10-1,talk,natsuno,......
collection10-1,talk,natsuno,......まぁでも
collection10-1,talk,natsuno,もうちょっとくらい
collection10-1,talk,natsuno,普通のJK、してたかったかな......
collection10-1,wait,2
collection10-1,end,questSuccess
-,,,
collection11-1,bg,scenario23
collection11-1,playBgm,environment07
collection11-1,wait,2
collection11-1,talk,natsuno,これ......
collection11-1,talk,natsuno,子供向けのおもちゃかと思ったけど
collection11-1,talk,natsuno,違うっぽい？
collection11-1,talk,natsuno,......なんか
collection11-1,talk,natsuno,めっちゃ細かくて
collection11-1,talk,natsuno,精巧っていうか
collection11-1,talk,natsuno,こことか、ちょっと力入れたら折れそう......
collection11-1,talk,natsuno,おもちゃ、じゃなくて、模型って言った方がいいのかな
collection11-1,talk,natsuno,こういうの、博物館とか以外で初めて見たかも
collection11-1,talk,natsuno,......
collection11-1,talk,natsuno,......このロケットが、何のためにつくられたやつなのか、わたしはわからないけど
collection11-1,talk,natsuno,人工衛星を打ち上げるとか
collection11-1,talk,natsuno,その人工衛星に、物とか人を運ぶとか
collection11-1,talk,natsuno,火星とか、ほかの星を調べに行くとか
collection11-1,talk,natsuno,いろいろ、あるよね......たぶん
collection11-1,talk,natsuno,......
collection11-1,talk,natsuno,昔、聞いた話でさ
collection11-1,talk,natsuno,......でも、何で聞いたんだろ
collection11-1,talk,natsuno,学校の授業とかかな
collection11-1,talk,natsuno,社会見学とかに行ったときかも？
collection11-1,talk,natsuno,どこで聞いたのかは......まぁ、憶えてないけど
collection11-1,talk,natsuno,けど......
collection11-1,talk,natsuno,宇宙のどこかにいるかもしれない、宇宙人に
collection11-1,talk,natsuno,わたしたちのことを見つけてもらうために、打ち上げられたものがあるって話は......よく憶えてる
collection11-1,talk,natsuno,や、そのためだけに打ち上げられたわけじゃなかったかもだけど
collection11-1,talk,natsuno,そのロケット......っていうか、探査機？　には
collection11-1,talk,natsuno,人間のこととか、音楽とか、そういうのが記録された円盤みたいなのが入ってて
collection11-1,talk,natsuno,宇宙人が、いつか、それを受け取って
collection11-1,talk,natsuno,地球のことを知ってくれたらいいな......みたいな
collection11-1,talk,natsuno,そんな話だったと思う
collection11-1,talk,natsuno,......
collection11-1,talk,natsuno,......どこかに、いるかな
collection11-1,talk,natsuno,宇宙人
collection11-1,talk,natsuno,......あなたは、宇宙人、って感じじゃなかったけど
collection11-1,talk,natsuno,これから先......
collection11-1,talk,natsuno,何千年も、何万年も未来
collection11-1,talk,natsuno,もしかしたら、どこかで誰かが
collection11-1,talk,natsuno,見つけてくれたり、するのかな
collection11-1,talk,natsuno,そのときには......
collection11-1,talk,natsuno,人間なんか、もういなくなってそうだし
collection11-1,talk,natsuno,わたしはもちろん、死んでるだろうし
collection11-1,talk,natsuno,わたしには関係ないっていうか
collection11-1,talk,natsuno,見つけてくれても、見つけられなくても、わたしにとっては同じなんだけど
collection11-1,talk,natsuno,......
collection11-1,talk,natsuno,......なんでだろう
collection11-1,talk,natsuno,それでも、見つけてくれたらいいなって思う
collection11-1,talk,natsuno,自分には関係ないくらい、遠い未来のこと、なんだけど
collection11-1,talk,natsuno,その未来から見た過去に、自分がいるんだって思えるのって
collection11-1,talk,natsuno,なんか、うれしい気がする
collection11-1,talk,natsuno,......不思議だね
collection11-1,wait,2
collection11-1,end,questSuccess
-,,,
collection12-1,bg,location05
collection12-1,playBgm,environment00
collection12-1,wait,2
collection12-1,talk,natsuno,うわー......
collection12-1,talk,natsuno,懐かしい
collection12-1,talk,natsuno,ガラケーだ
collection12-1,talk,natsuno,真ん中で折れてパカパカするやつ
collection12-1,talk,natsuno,電源は......
collection12-1,talk,natsuno,入るわけ、ないよね
collection12-1,talk,natsuno,充電器はないし......
collection12-1,talk,natsuno,うわ、この充電コード刺すとこ、懐かし
collection12-1,talk,natsuno,ほんと、久しぶりに見た......
collection12-1,talk,natsuno,......
collection12-1,talk,natsuno,......まぁ、懐かしいとか言ってるけど
collection12-1,talk,natsuno,わたし、ガラケー持ってたことないんだよね
collection12-1,talk,natsuno,高校生になって、初めて買ってもらったのスマホだったし
collection12-1,talk,natsuno,ガラケー、親とか友達が持ってたの見て
collection12-1,talk,natsuno,ずっと羨ましーって思ってばっかだった
collection12-1,talk,natsuno,ポチポチメール打つのとか
collection12-1,talk,natsuno,やったことないんだ
collection12-1,talk,natsuno,......
collection12-1,talk,natsuno,......だからかな
collection12-1,talk,natsuno,なんか......
collection12-1,talk,natsuno,ガラケーって、今でも『いいな』って思っちゃう
collection12-1,talk,natsuno,いい思い出っていうか
collection12-1,talk,natsuno,や、だから、自分で持ってた思い出はないんだけど
collection12-1,talk,natsuno,羨ましいって思ってばっかだったから
collection12-1,talk,natsuno,余計に、キラキラした思い出のまま残ってるっていうか
collection12-1,talk,natsuno,もし、買ってもらってたら......もっと、なんでもない思い出になってたっていうか
collection12-1,talk,natsuno,あるよね、そういうこと
collection12-1,talk,natsuno,ほしいって思って、でも、いざ手に入れたら冷めちゃうとか
collection12-1,talk,natsuno,別になくてもよかったって思うわけじゃないんだけど
collection12-1,talk,natsuno,こう......旅行の計画立ててるときが一番楽しいのと、一緒かな
collection12-1,talk,natsuno,わたし、旅行の計画とか立てるタイプじゃないけど
collection12-1,talk,natsuno,......今は
collection12-1,talk,natsuno,今は......どうだろ
collection12-1,talk,natsuno,昔みたいな感じで、何かをほしいって思ったり
collection12-1,talk,natsuno,羨ましいって思ったり......しなくなった、かな
collection12-1,talk,natsuno,そりゃ、食べ物がほしいって思うこととかはあるけど
collection12-1,talk,natsuno,それは、なんか違うよね
collection12-1,talk,natsuno,羨ましいっていうのも、そもそも他の人とそんなに話したりしないから、思いようがないし
collection12-1,talk,natsuno,んー......
collection12-1,talk,natsuno,なくてもいいものほしいって思ったり
collection12-1,talk,natsuno,他人がもってるもの羨ましいって思ったり
collection12-1,talk,natsuno,そう考えると、昔は......なんか、贅沢だったな
collection12-1,talk,natsuno,......
collection12-1,talk,natsuno,......ううん
collection12-1,talk,natsuno,昔は贅沢だったって思うけど
collection12-1,talk,natsuno,でも、今も、別にそんな嫌じゃないよ
collection12-1,talk,natsuno,羨ましいって思うのって、だめなことじゃないけど
collection12-1,talk,natsuno,なんか疲れるっていうか
collection12-1,talk,natsuno,ほしいって思って、でも手に入らないのって、結局のところ嫌なことだから
collection12-1,talk,natsuno,そういうの、今はあんまり思わなくて
collection12-1,talk,natsuno,むしろ、ストレスフリー......みたいな？
collection12-1,talk,natsuno,......
collection12-1,talk,natsuno,......わたし、もしかして達観しすぎ......？
collection12-1,talk,natsuno,なんか、仙人みたいなこと言ってるかも、って
collection12-1,talk,natsuno,ときどき......自分でも思う
collection12-1,talk,natsuno,......
collection12-1,talk,natsuno,......やだなぁ
collection12-1,wait,2
collection12-1,end,questSuccess
-,,,
collection13-1,bg,location37
collection13-1,playBgm,environment01
collection13-1,wait,2
collection13-1,talk,natsuno,この絵本......
collection13-1,talk,natsuno,小さい頃、読んだことあるかも
collection13-1,talk,natsuno,独りぼっちで、寂しかったお化けが
collection13-1,talk,natsuno,小さな男の子と出会って、ちょっとずつ仲良くなっていくお話
collection13-1,talk,natsuno,お話の途中まで、二人は仲良しの友達なんだけど
collection13-1,talk,natsuno,男の子が大きくなって、だんだんお化けが見えなくなるっていうか
collection13-1,talk,natsuno,お化けのこと、忘れていって
collection13-1,talk,natsuno,お化けは悲しむんだけど、でも、男の子が成長していくのはうれしくて
collection13-1,talk,natsuno,また独りぼっちになって、男の子を見守ってる......みたいな
collection13-1,talk,natsuno,そんな、優しくて、悲しいお話......だった気がする
collection13-1,talk,natsuno,......
collection13-1,talk,natsuno,......今は、そんな風に思うけど
collection13-1,talk,natsuno,小さい頃は、そんな風に読んでたわけじゃない、かな
collection13-1,talk,natsuno,男の子に裏切られた、とか
collection13-1,talk,natsuno,お化けがかわいそう、とか
collection13-1,talk,natsuno,そんなこと思ってた気がする
collection13-1,talk,natsuno,......悲しいお話で
collection13-1,talk,natsuno,たぶん、あんまり好きじゃなかった
collection13-1,talk,natsuno,......
collection13-1,talk,natsuno,......だけど
collection13-1,talk,natsuno,それでも、こうやって話を憶えてて
collection13-1,talk,natsuno,今は、優しいお話だなって思う
collection13-1,talk,natsuno,......そういうことが
collection13-1,talk,natsuno,ときどきあるんだな、って最近思う
collection13-1,talk,natsuno,昔読んだ漫画とか
collection13-1,talk,natsuno,見てたドラマとか
collection13-1,talk,natsuno,こんな世界になってからさ
collection13-1,talk,natsuno,続き、読みたかったなって思ったり
collection13-1,talk,natsuno,もう一回見たいなって思ったり
collection13-1,talk,natsuno,そういうのも......もちろん、あるんだけど
collection13-1,talk,natsuno,読んだときは、あんまりおもしろくないなって思った本とか
collection13-1,talk,natsuno,よくわかんないなって思った話とか
collection13-1,talk,natsuno,そういうのを......思い出すこともあって
collection13-1,talk,natsuno,なんていうか、よくわかんなかったんだけど、でも、不思議とずっと憶えてるものとか
collection13-1,talk,natsuno,ふとしたときに、なぜか思い出すものとか
collection13-1,talk,natsuno,......そういうの、ない？
collection13-1,talk,natsuno,......
collection13-1,talk,natsuno,......わたしは、ある
collection13-1,talk,natsuno,こんな世界になって、今までしたことない、いろんなことを経験したからかもしれないけど
collection13-1,talk,natsuno,急に、いきなり......そういう、今までよくわからなかったものが
collection13-1,talk,natsuno,ああ、そういうお話だったんだって、わかるっていうか
collection13-1,talk,natsuno,納得できることが......あったりして
collection13-1,talk,natsuno,今まで好きじゃなかったものが、好きになったり、するんだ
collection13-1,talk,natsuno,......
collection13-1,talk,natsuno,......わたしも、ちょっとずつ大人になってるってことなのかな
collection13-1,talk,natsuno,学校もないし、働いたり、社会の波に揉まれたりしてないけど
collection13-1,talk,natsuno,それでも......人って大人になってくのかな
collection13-1,talk,natsuno,......うーん
collection13-1,talk,natsuno,そういう実感は、全然ないけど
collection13-1,talk,natsuno,......
collection13-1,talk,natsuno,......でも、今は
collection13-1,talk,natsuno,大人になっても、独りぼっちだったお化けのこと、憶えててあげたいって思っちゃうし
collection13-1,talk,natsuno,たぶん、まだ全然、子供だね
collection13-1,wait,2
collection13-1,end,questSuccess
-,,,
collection14-1,bg,location61
collection14-1,playBgm,scenario06
collection14-1,wait,2
collection14-1,talk,natsuno,こういう、高そうなティーカップって
collection14-1,talk,natsuno,海外ドラマとかで出てきたりして
collection14-1,talk,natsuno,なんか、遠い世界のもので、たぶん一生触ることなんかないんだろうなって思っちゃうよね
collection14-1,talk,natsuno,これがどれくらいいいものなのかわかんないけど......
collection14-1,talk,natsuno,たぶん、高いんだろうなぁ......
collection14-1,talk,natsuno,......
collection14-1,talk,natsuno,......あ、でも
collection14-1,talk,natsuno,そういえば
collection14-1,talk,natsuno,田舎のおばあちゃんの家に......こういうの、あった気がする
collection14-1,talk,natsuno,......
collection14-1,talk,natsuno,あー......
collection14-1,talk,natsuno,なんか、思い出してきたかも
collection14-1,talk,natsuno,わたしは、使ったことないけどね
collection14-1,talk,natsuno,おばあちゃんの家でご飯食べたり、ケーキ食べたりするときも、使ってなかったけど
collection14-1,talk,natsuno,でも、食器棚の中に、高そうな食器いっぱいあったな
collection14-1,talk,natsuno,や、高そうってだけで
collection14-1,talk,natsuno,別に大したものじゃないのかもしれないけど......
collection14-1,talk,natsuno,......
collection14-1,talk,natsuno,......でも、たぶん、それなりのものだったんじゃないかな
collection14-1,talk,natsuno,なんて言っていいか、わかんないけど
collection14-1,talk,natsuno,おばあちゃんの家とかって
collection14-1,talk,natsuno,押し入れの中とかに、びっくりするくらい高そうなものあったりしない？
collection14-1,talk,natsuno,壺とか、掛け軸とか、絵とか......
collection14-1,talk,natsuno,おばあちゃんの家、古かったし
collection14-1,talk,natsuno,おばあちゃんの代で買ったものじゃなくて、ずっと昔からあったものかもしれないけど
collection14-1,talk,natsuno,あれ......なんだったんだろ
collection14-1,talk,natsuno,食器もそうだけど、ちゃんと見せてもらったこと、ないんだよね
collection14-1,talk,natsuno,仕舞われてるのが、ちらっと見えるだけで
collection14-1,talk,natsuno,食器とは、昔は使ってたのかな
collection14-1,talk,natsuno,家族とかじゃなくて、お客さんが来たときに使ってたのかもだけど
collection14-1,talk,natsuno,......
collection14-1,talk,natsuno,......こういうの
collection14-1,talk,natsuno,もう一生、謎のままなんだろうな
collection14-1,talk,natsuno,先祖代々受け継がれてた大事なものかもしれないし
collection14-1,talk,natsuno,実はそんなに高いものじゃなかったのかもしれないし
collection14-1,talk,natsuno,わかんないけど......
collection14-1,talk,natsuno,ずっとわかんないまま、だよね
collection14-1,talk,natsuno,......
collection14-1,talk,natsuno,......そういうことが
collection14-1,talk,natsuno,他にも、たくさんあるんだろうな
collection14-1,talk,natsuno,あれってなんだったんだろう、とか
collection14-1,talk,natsuno,いつからあったんだろう、とか
collection14-1,talk,natsuno,......まぁ
collection14-1,talk,natsuno,聞けるときに聞いとけばよかったって気もするけど
collection14-1,talk,natsuno,わたしは、まぁいっか、って感じ......かな
collection14-1,talk,natsuno,わたし、一人っ子だから
collection14-1,talk,natsuno,もしかしたら、将来、何か受け継いでくれって言われてたかもしれないけど
collection14-1,talk,natsuno,そういうのも、もうないし
collection14-1,talk,natsuno,先祖代々、ずっと大事にしてたものがなくなっちゃうかも、っていうは
collection14-1,talk,natsuno,ちょっと寂しい気もするけどね
collection14-1,talk,natsuno,......まぁ、でも
collection14-1,talk,natsuno,そういう、形あるものは、どっちにしてもいつか消えてなくなっちゃうだろうから
collection14-1,talk,natsuno,なんていうか......
collection14-1,talk,natsuno,わたしは、元気に生きていくので
collection14-1,talk,natsuno,許してね、ご先祖様
collection14-1,talk,natsuno,......って感じ？
collection14-1,wait,2
collection14-1,end,questSuccess
-,,,
collection15-1,bg,location13
collection15-1,playBgm,environment01
collection15-1,wait,2
collection15-1,talk,natsuno,ランタン......だけど
collection15-1,talk,natsuno,燃料切れかな
collection15-1,talk,natsuno,点かないや
collection15-1,talk,natsuno,手元にある燃料、使えるかな......
collection15-1,talk,natsuno,うーん
collection15-1,talk,natsuno,怖いよね、こういうの
collection15-1,talk,natsuno,間違った燃料入れたら、爆発とかしそうじゃない？
collection15-1,talk,natsuno,どういうの使ったらいいのか、書いてあるのかな......
collection15-1,talk,natsuno,......うーん
collection15-1,talk,natsuno,......
collection15-1,talk,natsuno,......こういうことしてると
collection15-1,talk,natsuno,ほんと、よく生き残ってるよね、って思っちゃう
collection15-1,talk,natsuno,当たり前だけど、こういうの使ったことなんかないし
collection15-1,talk,natsuno,知識とか、経験とか、そういうのなんにもないのに
collection15-1,talk,natsuno,よく......生きてこれたなぁ
collection15-1,talk,natsuno,自分のこと、なんだけど
collection15-1,talk,natsuno,......
collection15-1,talk,natsuno,......ま
collection15-1,talk,natsuno,最初の頃は、ほんとに、どうしていいかわかんなくて
collection15-1,talk,natsuno,人がいなくなっちゃった町で、でも、勝手に知らない人の家に入っていいのかなって思ったりして
collection15-1,talk,natsuno,誰もいない駅とか、交番とか、そういうところで寝たりして
collection15-1,talk,natsuno,そこでも、仕舞ってあるもの勝手につかっていいのかな、とか思ってて
collection15-1,talk,natsuno,それで......
collection15-1,talk,natsuno,何日か、何も食べられない日が続いて
collection15-1,talk,natsuno,やっと、鍵がかかってない家に入って、食べ物とか探すようになって
collection15-1,talk,natsuno,......
collection15-1,talk,natsuno,......あのときは
collection15-1,talk,natsuno,ほんとに、つらかったな
collection15-1,talk,natsuno,......お腹が空いてるのも、つらいけど
collection15-1,talk,natsuno,でも......勝手に人の家に入ったり
collection15-1,talk,natsuno,使えそうなもの持って帰ったり
collection15-1,talk,natsuno,自分がそういうことしてるって思うのが......つらくて
collection15-1,talk,natsuno,仕方ないんだけど
collection15-1,talk,natsuno,......今でも
collection15-1,talk,natsuno,たまに、思ったりする
collection15-1,talk,natsuno,ふと、わたし、何してるんだろって
collection15-1,talk,natsuno,こんなことしていいのかなって......思ったりする
collection15-1,talk,natsuno,仕方ないんだけど......ほんとはいけないことなんだって、どこかで思ってる
collection15-1,talk,natsuno,......もうずっと
collection15-1,talk,natsuno,そうやって暮らしてるのに、ね
collection15-1,talk,natsuno,......
collection15-1,talk,natsuno,いけないことしてるって気分になるのは
collection15-1,talk,natsuno,そりゃ、嫌なこと、なんだけど
collection15-1,talk,natsuno,でも......
collection15-1,talk,natsuno,そういう風に思う『普通』を、忘れたくないなって、気もする
collection15-1,talk,natsuno,今の、これが『普通』になって、
collection15-1,talk,natsuno,前の......世界がこんな風になっちゃう前の『普通』を、本当に忘れちゃうのは
collection15-1,talk,natsuno,なんか......
collection15-1,talk,natsuno,嫌だなって
collection15-1,talk,natsuno,今でも、思うんだ
collection15-1,wait,2
collection15-1,end,questSuccess
-,,,
collection100-1,bg,location53
collection100-1,playBgm,character00
collection100-1,wait,2
collection100-1,talk,natsuno,......すんごい季節外れ
collection100-1,talk,natsuno,なんでこんなの、落ちてたんだろ......
collection100-1,talk,natsuno,これ、あれだよね
collection100-1,talk,natsuno,クリスマスにサンタさんがプレゼント入れてくれる......靴下
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......今まで考えたことなかったけど
collection100-1,talk,natsuno,なんで、靴下なんだろ
collection100-1,talk,natsuno,こんなおっきい靴下、普通、家にないよね
collection100-1,talk,natsuno,海外だとあるのかな......
collection100-1,talk,natsuno,うーん......
collection100-1,talk,natsuno,なぞ
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......あれ
collection100-1,talk,natsuno,これ、中身入ってる......
collection100-1,talk,natsuno,なんだろ、これ
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......赤い布？
collection100-1,talk,natsuno,......あ
collection100-1,talk,natsuno,これ
collection100-1,talk,natsuno,サンタの衣装だ
collection100-1,talk,natsuno,......？
collection100-1,talk,natsuno,サンタクロースの衣装......
collection100-1,talk,natsuno,......だよね、たぶん
collection100-1,talk,natsuno,にしては、布、少なくない......？
collection100-1,talk,natsuno,......
collection100-1,fg,survivor00,right-right,0.5,zito
collection100-1,talk,natsuno,......え
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......着るの？
collection100-1,talk,natsuno,......わたしが？
collection100-1,talk,natsuno,今？
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......えー
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......わかったよ
collection100-1,talk,natsuno,そんな食いつかないでよ......
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......じゃあ
collection100-1,talk,natsuno,ちょっと、着替えてくる......
collection100-1,fgRemove,survivor00,1.0
collection100-1,wait,1
collection100-1,fadeOut,1
collection100-1,newPage
collection100-1,wait,1
collection100-1,fadeIn,1
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......ほんとに
collection100-1,talk,natsuno,なんで、こんなの落ちてたんだろ......
collection100-1,talk,natsuno,......結構、恥ずかしい
collection100-1,talk,natsuno,......
collection100-1,fg,survivor00,right-right,1.0,shy,santa
collection100-1,talk,natsuno,......なに
collection100-1,talk,natsuno,......感想は
collection100-1,talk,natsuno,聞きたくない
collection100-1,talk,natsuno,何も言わないで
collection100-1,talk,natsuno,......なんで着ちゃったんだろ
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,............
collection100-1,fg,survivor00,right-right,0.5,default,santa
collection100-1,talk,natsuno,こういうのってさ
collection100-1,talk,natsuno,季節になると、お店とかでめっちゃ見かけるけど
collection100-1,talk,natsuno,季節じゃない間って、どこにあるんだろ......って思っちゃわない？
collection100-1,talk,natsuno,クリスマスのやつに限らず
collection100-1,talk,natsuno,お正月のとか、夏のプール用品とか
collection100-1,talk,natsuno,あと、お祭りの屋台とかも
collection100-1,talk,natsuno,その年、使われなかったものも
collection100-1,talk,natsuno,次の年のために、どこかに残ってるはずだよね
collection100-1,talk,natsuno,......倉庫とかに仕舞ってるのかな
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,......こんな状況になって
collection100-1,talk,natsuno,倉庫とか、あさりに行くと......ときどき、そういう......
collection100-1,talk,natsuno,なんていうのかな
collection100-1,talk,natsuno,普段は見られない、お店の裏事情みたいなのが、見れたりして
collection100-1,talk,natsuno,......ちょっと、楽しい
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,............
collection100-1,fg,survivor00,right-right,0.5,shy,santa
collection100-1,talk,natsuno,......あのさ
collection100-1,talk,natsuno,もう、着替えてもいい......よね
collection100-1,talk,natsuno,だめだと言われても
collection100-1,talk,natsuno,着替えます
collection100-1,talk,natsuno,......
collection100-1,fg,survivor00,right-right,0.5,default,santa
collection100-1,talk,natsuno,......まぁでも
collection100-1,talk,natsuno,こんなの、もう二度と着る機会もないだろうし
collection100-1,talk,natsuno,記念ってことで
collection100-1,talk,natsuno,納得しとこ
collection100-1,talk,natsuno,......
collection100-1,talk,natsuno,............
collection100-1,pauseBgm
collection100-1,fg,survivor00,right-right,0.5,shy,santa
collection100-1,talk,natsuno,......もう二度と
collection100-1,talk,natsuno,着ない......よね？
collection100-1,wait,2
collection100-1,end,questSuccess
-,,,
collection101-1,bg,scenario21
collection101-1,fgClear
collection101-1,hideStatus
collection101-1,playBgm,environment00
collection101-1,wait,2
collection101-1,describe,日差しの照りつける、暑い──いつもどおりの、とある日。
collection101-1,describe,街の中で、偶然目に入った建物の中を覗いてみる。
collection101-1,describe,今日を生きていくために散策する。
collection101-1,describe,部屋の中は薄暗くて、涼しいくらいだった。
collection101-1,describe,開いている窓は一つもない。
collection101-1,describe,部屋を照らすのは、扉から差すわずかな光だけ。
collection101-1,describe,その光の中に、小さな箱が見えた。
collection101-1,describe,箱の中を覗けば、赤い包みがぎっしり詰まっていて。
collection101-1,describe,それを見つけて、手に取ったのは──
collection101-1,branch,finishedScenario,main2-2,selectable,input_natsuno
collection101-1,label,selectable
collection101-1,describe,<button>ナツノ</button>だったか、
collection101-1,branch,finishedScenario,main2-2,akane_valid,akane_invalid
collection101-1,label,akane_valid
collection101-1,describe,<button>アカネ</button>だったか、
collection101-1,label,akane_invalid
collection101-1,branch,finishedScenario,kiko1-1,kiko_valid,kiko_invalid
collection101-1,label,kiko_valid
collection101-1,describe,<button>キコ</button>だったか、
collection101-1,label,kiko_invalid
collection101-1,branch,finishedScenario,shino1-1,shino_valid,shino_invalid
collection101-1,label,shino_valid
collection101-1,describe,<button>シノ</button>だったか、
collection101-1,label,shino_invalid
collection101-1,label,wait_call
collection101-1,waitCall,natsuno,input_natsuno,input_no_natsuno
collection101-1,label,input_no_natsuno
collection101-1,branch,prevInput,akane,input_akane,input_no_akane
collection101-1,label,input_no_akane
collection101-1,branch,prevInput,kiko,input_kiko,input_no_kiko
collection101-1,label,input_no_kiko
collection101-1,branch,prevInput,shino,input_shino,input_no_shino
collection101-1,label,input_no_shino
collection101-1,jump,wait_call
-,,,
collection101-1,label,input_natsuno
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,showStatus
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,character00
collection101-1,fg,survivor00,right-right,0.5
collection101-1,talk,natsuno,あ......
collection101-1,talk,natsuno,これ、板チョコだ
collection101-1,talk,natsuno,ひと箱全部......
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......きっと、前だったら
collection101-1,talk,natsuno,めっちゃテンション上がってたんだろうな......
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......今は
collection101-1,talk,natsuno,食料だ......って感じ
collection101-1,talk,natsuno,......あーあ
collection101-1,talk,natsuno,なんか......遠いところにきちゃったなー
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......んー
collection101-1,talk,natsuno,これ、どうしよ
collection101-1,talk,natsuno,このまま持って帰ってもいいけど
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......あ
collection101-1,talk,natsuno,そうだ
collection101-1,talk,natsuno,せっかくだし......
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,bg,scenario00
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,talk,natsuno,こーやって湯煎してると
collection101-1,talk,natsuno,中学の頃のこと、思い出すな
collection101-1,talk,natsuno,中学の頃は、毎年やってた気がする
collection101-1,talk,natsuno,そうそう
collection101-1,talk,natsuno,バレンタインに、手作りチョコ......
collection101-1,talk,natsuno,......え
collection101-1,talk,natsuno,本命？
collection101-1,talk,natsuno,そんなのないよ
collection101-1,talk,natsuno,友チョコだけ
collection101-1,talk,natsuno,だってみんなチョコくれるんだもん
collection101-1,talk,natsuno,わたしだけ何も用意してないのは、だめじゃん？
collection101-1,talk,natsuno,ま、買ったのでもよかったけど
collection101-1,talk,natsuno,でも......せっかくだし、と思って
collection101-1,talk,natsuno,......
collection101-1,fg,survivor00,right-right,0.5,zito
collection101-1,talk,natsuno,......今、意外、とか思った？
collection101-1,talk,natsuno,思ったでしょ
collection101-1,talk,natsuno,......
collection101-1,fg,survivor00,right-right,0.5,default
collection101-1,talk,natsuno,..けど、まぁ
collection101-1,talk,natsuno,わたしも思った
collection101-1,talk,natsuno,意外だよね、なんか
collection101-1,talk,natsuno,......なんで、チョコつくったりしてたんだろ
collection101-1,talk,natsuno,買ったのでいいじゃん......って思いそうだけど、わたし
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......あ
collection101-1,talk,natsuno,思い出したかも
collection101-1,talk,natsuno,中一のとき......仲良かった子に誘われたんだ
collection101-1,talk,natsuno,一緒につくろうって
collection101-1,talk,natsuno,それでその子の家に行って、一緒にチョコ溶かして
collection101-1,talk,natsuno,......それから、かな
collection101-1,talk,natsuno,その子とは、引っ越しで学校変わっちゃったけど
collection101-1,talk,natsuno,でも、その子にいろいろ教えてもらったから......毎年、チョコつくってたのかも
collection101-1,talk,natsuno,それがなかったら......たぶん、やんないよね、こんなめんどくさいこと
collection101-1,talk,natsuno,つまり......惰性？
collection101-1,talk,natsuno,や、惰性とは違うかも
collection101-1,talk,natsuno,うーん......
collection101-1,talk,natsuno,せっかく教えてもらったんだし、みたいな
collection101-1,talk,natsuno,そんな感じ......かな
collection101-1,talk,natsuno,その子と一緒に作ったチョコは......普通のトリュフチョコだったけど
collection101-1,fg,survivor00,right-right,0.5,smile
collection101-1,talk,natsuno,なんか......おいしかった気がするし
collection101-1,pauseBgm
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,fg,survivor00,right-right,0,default
collection101-1,wait,1
collection101-1,fadeIn,1
